#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,lf,"is an extensive terminal file manager that everyone likes."
,bc,"is a mathematics language used for the dropdown calculator."
,calcurse,"terminal-based organizer for interactive and command line use"
,ffmpeg,"can record and splice video and audio on the command line."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,mandoc,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,sc-im,"is an Excel-like terminal spreadsheet manager."
,abook,"is an offline addressbook usable by neomutt."
,unzip,"unzips zips."
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,python-yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
G,https://github.com/zdharma-continuum/fast-syntax-highlighting.git,"provides syntax highlighting in the shell."
,task-spooler,"queues commands or files for download."
,htop,"is a graphical and colorful system monitor."
,termux-api,"is needed to use the clipboard or open files in apps etc."
#,pass,"is a dependency of mutt-wizard."
#,neomutt,"is a dependency of mutt-wizard."
#,isync,"is a dependency of mutt-wizard."
#,msmtp,"is a dependency of mutt-wizard."
#G,https://github.com/LukeSmithxyz/mutt-wizard.git,"is a light-weight terminal-based email system."
#,tesseract,"command-line OCR engine."
#,cronie,"is a cronjob manager."
#P,urlscan,"outputs urls in mail to browser."
#,pass-otp,"two factor authentication and OTP for pass."
#,zbar,"can read bar codes from various sources."
#,sox,"can apply sound effects and filters to audio files."
#,imagemagick,"command line image editor."
#P,pywal,"generates system color palette from wallpaper."
#,transmission,"is a terminal-based BitTorrent client."
#P,stig,"is a terminal interface for Transmission."
#,profanity,"is a console based XMPP client."
#,rsync,"is a fast and versatile file copying tool for remote and local files."
#,hugo,"is a fast static site generator."
#,syncthing,"does replication/cluster synchronization."
#,monero,"is a secure, private, untraceable peer-to-peer currency."
#,libmaxminddb-tools,"is a geoip lookup utility."
#,sdcv,"is a command line dictionary."
#,shellcheck,"shell script analysis tool."
#,neofetch,"is a simple system information script."
#,figlet,"makes large letters out of ordinary text."
